# AMS-02 Proton flux
#
# Taken from
# http://dx.doi.org/10.1103/PhysRevLett.114.171103
#
# Column 1: Rigidity [GV] from
# Column 2: Rigidity [GV] to
# Column 3: Flux [m-2 · sr-1 · s-1 · GV-1]
# Column 4: sigma stat
# Column 5: sigma trig
# Column 6: sigma acc
# Column 7: sigma unf
# Column 8: sigma scale
# Column 9: sigma syst
# Column10: Factor (for columns 3-9)
#
#
# R1   R2    Phi      stat     trig     acc      unf      scale    syst      factor#
####################################################################################
116    125   2.698    0.006    0.004    0.027    0.023    0.016    0.039     1e-2
125    135   2.174    0.005    0.004    0.022    0.019    0.013    0.032     1e-2
135    147   1.727    0.004    0.003    0.018    0.016    0.011    0.026     1e-2
147    160   1.358    0.003    0.003    0.014    0.013    0.009    0.021     1e-2
160    175   1.065    0.003    0.002    0.011    0.010    0.007    0.017     1e-2
175    192   8.212    0.023    0.017    0.087    0.079    0.059    0.133     1e-3
192    211   6.299    0.019    0.014    0.068    0.062    0.047    0.104     1e-3
211    233   4.793    0.015    0.011    0.053    0.049    0.039    0.083     1e-3
233    259   3.605    0.012    0.009    0.040    0.039    0.031    0.065     1e-3
259    291   2.647    0.009    0.007    0.030    0.029    0.024    0.049     1e-3
291    330   1.884    0.007    0.006    0.022    0.022    0.019    0.037     1e-3
330    379   1.288    0.005    0.004    0.016    0.016    0.015    0.027     1e-3
379    441   8.695    0.038    0.034    0.110    0.112    0.111    0.195     1e-4
441    525   5.545    0.026    0.025    0.073    0.078    0.078    0.135     1e-4
525    643   3.357    0.017    0.018    0.047    0.052    0.057    0.092     1e-4
643    822   1.860    0.010    0.012    0.028    0.032    0.040    0.060     1e-4
822   1130   8.571    0.053    0.071    0.139    0.192    0.254    0.355     1e-5
1130  1800   2.933    0.021    0.035    0.055    0.092    0.130    0.173     1e-5
#
#
# end
